,id,title,original_language,release_date,vote_average,popularity,adult
301,15,Citizen Kane,en,1941-04-17,8.0,22.082,False
302,568160,Weathering with You,ja,2019-06-19,8.0,36.413,False
303,554596,No Manches Frida 2,es,2019-03-15,8.0,81.258,False
304,110416,Song of the Sea,en,2014-09-06,8.0,16.054,False
305,11104,Chungking Express,cn,1994-07-14,8.0,25.376,False
306,315465,The Boy and the Beast,ja,2015-07-11,8.0,19.594,False
307,524,Casino,en,1995-11-22,8.0,27.92,False
308,12761,Autumn Sonata,sv,1978-10-08,8.0,8.994,False
309,359724,Ford v Ferrari,en,2019-11-13,8.0,47.093,False
310,205596,The Imitation Game,en,2014-11-14,8.0,47.244,False
311,3175,Barry Lyndon,en,1975-11-26,8.0,17.617,False
312,595,To Kill a Mockingbird,en,1962-12-20,8.0,21.438,False
313,714888,"Argentina, 1985",es,2022-09-29,8.0,16.634,False
314,28178,Hachi: A Dog's Tale,en,2009-06-08,8.0,37.673,False
315,11778,The Deer Hunter,en,1978-03-09,8.0,23.095,False
316,785084,The Whale,en,2022-12-09,8.0,148.68,False
317,140420,Paperman,en,2012-11-02,8.0,8.706,False
318,13223,Gran Torino,en,2008-12-09,8.0,24.436,False
319,424694,Bohemian Rhapsody,en,2018-10-24,8.0,46.871,False
320,3090,The Treasure of the Sierra Madre,en,1948-01-15,8.0,17.439,False
321,58007,Poverty and Nobility,it,1954-04-17,8.0,7.434,False
322,31439,To Live,zh,1994-05-26,8.0,8.895,False
323,28422,Love Exposure,ja,2009-01-31,8.0,8.934,False
324,25376,The Secret in Their Eyes,es,2009-08-13,8.0,16.661,False
325,961,The General,en,1926-12-25,8.0,14.4,False
326,634649,Spider-Man: No Way Home,en,2021-12-15,8.0,341.296,False
327,652722,In the Arms of an Assassin,es,2019-12-06,8.0,18.545,False
328,962232,Beyond the Universe,pt,2022-10-27,8.0,23.709,False
329,426618,Where Hands Touch,en,2018-09-14,8.0,14.921,False
330,213,North by Northwest,en,1959-07-08,8.0,20.411,False
331,285700,The Fool,ru,2014-08-09,8.0,7.043,False
332,776503,CODA,en,2021-08-11,8.0,33.38,False
333,560066,Scooby-Doo! and the Curse of the 13th Ghost,en,2019-02-05,8.0,18.316,False
334,23282,One Week,en,1920-08-29,8.0,5.973,False
335,12104,Pink Floyd: The Wall,en,1982-07-14,8.0,14.798,False
336,18438,Castaway on the Moon,ko,2009-05-14,8.0,13.189,False
337,550205,Wish Dragon,en,2021-01-15,8.0,50.486,False
338,530915,1917,en,2019-12-25,8.0,141.303,False
339,20453,3 Idiots,hi,2009-12-23,8.0,25.137,False
340,43949,Flipped,en,2010-08-06,8.0,25.752,False
341,14696,Ugetsu,ja,1953-03-26,8.0,10.851,False
342,488623,Forgotten,ko,2017-11-29,8.0,27.416,False
343,29264,The Exterminating Angel,es,1962-05-16,8.0,7.391,False
344,947,Lawrence of Arabia,en,1962-12-11,8.0,30.447,False
345,2517,Nobody Knows,ja,2004-08-07,8.0,20.82,False
346,15244,A Man Escaped,fr,1956-11-11,8.0,11.923,False
347,482321,Ron's Gone Wrong,en,2021-10-14,8.0,45.377,False
348,698508,Redeeming Love,en,2022-01-21,8.0,29.607,False
349,11658,Tae Guk Gi: The Brotherhood of War,ko,2004-02-05,8.0,19.722,False
350,7508,Like Stars on Earth,hi,2007-12-21,8.0,25.127,False
351,897,Aparajito,bn,1956-10-11,8.0,9.706,False
352,15383,Army of Shadows,fr,1969-09-10,8.0,11.034,False
353,45752,Scooby-Doo! Camp Scare,en,2010-09-14,8.0,20.189,False
354,76,Before Sunrise,en,1995-01-27,8.0,22.378,False
355,1059,The Hidden Fortress,ja,1958-12-28,8.0,13.764,False
356,1578,Raging Bull,en,1980-11-14,8.0,18.204,False
357,770,Gone with the Wind,en,1939-12-15,8.0,33.165,False
358,24,Kill Bill: Vol. 1,en,2003-10-10,8.0,39.275,False
359,242828,When Marnie Was There,ja,2014-07-19,8.0,24.863,False
360,38360,The Cranes Are Flying,ru,1957-10-12,8.0,10.193,False
361,10238,Cries and Whispers,sv,1972-12-21,8.0,10.082,False
362,1580,Rope,en,1948-03-11,8.0,16.631,False
363,862,Toy Story,en,1995-10-30,8.0,109.124,False
364,627,Trainspotting,en,1996-02-23,8.0,21.546,False
365,414419,Kill Bill: The Whole Bloody Affair,en,2011-03-27,8.0,14.037,False
366,640,Catch Me If You Can,en,2002-12-16,8.0,73.356,False
367,315620,Doctor Who: A Christmas Carol,en,2010-12-25,8.0,8.804,False
368,1092,The Third Man,en,1949-08-31,8.0,15.622,False
369,11712,Sanjuro,ja,1962-01-01,8.0,11.802,False
370,70,Million Dollar Baby,en,2004-12-15,8.0,28.03,False
371,38286,Three Men and a Leg,it,1997-12-27,8.0,8.644,False
372,237791,The Way He Looks,pt,2014-03-28,8.0,8.917,False
373,10515,Castle in the Sky,ja,1986-08-02,8.0,50.656,False
374,21334,Children of Heaven,fa,1997-08-01,8.0,18.923,False
375,234,The Cabinet of Dr. Caligari,de,1920-02-27,8.0,19.347,False
376,775,A Trip to the Moon,fr,1902-04-17,8.0,14.106,False
377,20803,Ivan Vasilyevich Changes His Profession,ru,1973-09-17,8.0,9.524,False
378,654,On the Waterfront,en,1954-06-22,8.0,18.361,False
379,360814,Dangal,hi,2016-12-21,8.0,16.123,False
380,41050,La Notte,it,1961-01-24,8.0,10.74,False
381,10404,Raise the Red Lantern,zh,1991-12-18,8.0,14.686,False
382,3777,Throne of Blood,ja,1957-01-15,8.0,11.948,False
383,110,Three Colors: Red,fr,1994-05-12,8.0,15.533,False
384,28971,Limelight,en,1952-10-23,8.0,11.249,False
385,458302,"Remi, Nobody's Boy",fr,2018-12-12,8.0,13.87,False
386,149,Akira,ja,1988-07-16,8.0,39.396,False
387,31411,The Cameraman,en,1928-09-10,7.9,8.113,False
388,522402,Finch,en,2021-11-04,7.9,62.201,False
389,501929,The Mitchells vs. the Machines,en,2021-04-22,7.9,30.031,False
390,489412,It's Such a Beautiful Day,en,2012-08-24,7.9,9.292,False
391,160885,Tel chi el telùn,it,1999-05-12,7.9,3.782,False
392,523781,Words on Bathroom Walls,en,2020-08-21,7.9,16.18,False
393,76203,12 Years a Slave,en,2013-10-18,7.9,46.686,False
394,158445,Miracle in Cell No. 7,ko,2013-01-23,7.9,11.728,False
395,405,La Strada,it,1954-09-23,7.9,8.939,False
396,491480,The Boy Who Harnessed the Wind,en,2019-02-14,7.9,30.704,False
397,14160,Up,en,2009-05-28,7.9,83.09,False
398,745,The Sixth Sense,en,1999-08-06,7.9,39.342,False
399,11010,The Postman,it,1994-04-07,7.9,11.691,False
400,5925,The Great Escape,en,1963-06-20,7.9,27.369,False
401,698948,Thirteen Lives,en,2022-07-18,7.9,23.564,False
402,438695,Sing 2,en,2021-12-01,7.9,151.666,False
403,920394,My Father's Violin,tr,2022-01-21,7.9,11.673,False
404,455714,Bad Genius,th,2017-05-03,7.9,12.535,False
405,10728,Faust,de,1926-10-13,7.9,6.934,False
406,698201,Tokyo Revengers,ja,2021-07-09,7.9,20.703,False
407,142061,"Batman: The Dark Knight Returns, Part 2",en,2013-01-03,7.9,27.092,False
